TAXON_ORDER,CATEGORY,SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME,en_IOC,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS,code,mass,masscomm
1060,spuh,coturn1,Synoicus/Coturnix sp.,old world quail sp.,old world quail sp.,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,NA
1066,species,chukar,Alectoris chukar,Chukar,Chukar Partridge,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,2,590,NA
1093,species,himsno,Tetraogallus himalayensis,Himalayan Snowcock,Himalayan Snowcock,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,2,2722,NA
1271,spuh,franco1,Pternistis/Francolinus/Peliperdix/Scleroptila sp.,francolin sp.,francolin sp.,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,NA
1323,species,rinphe,Phasianus colchicus,Ring-necked Pheasant,Common/Green Pheasant,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,1,1150,NA
1394,spuh,pheasa1,Phasianinae sp.,pheasant sp.,pheasant sp.,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,NA
1397,species,grypar,Perdix perdix,Gray Partridge,Grey Partridge,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,2,390,NA
1443,species,rufgro,Bonasa umbellus,Ruffed Grouse,Ruffed Grouse,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,1,580,NA
1458,species,saggro,Centrocercus urophasianus,Greater Sage-Grouse,Sage Grouse,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,1,2200,NA
1459,species,gusgro,Centrocercus minimus,Gunnison Sage-Grouse,Gunnison Grouse,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,2,1600,NA
1461,species,sprgro,Falcipennis canadensis,Spruce Grouse,Spruce Grouse,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,2,460,NA
1469,species,wilpta,Lagopus lagopus,Willow Ptarmigan,Willow Ptarmigan,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,1,550,NA
1490,species,rocpta1,Lagopus muta,Rock Ptarmigan,Rock Ptarmigan,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,1,420,NA
1522,species,whtpta1,Lagopus leucura,White-tailed Ptarmigan,White-tailed Ptarmigan,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,2,360,NA
1528,spuh,ptarmi1,Lagopus sp.,ptarmigan sp.,ptarmigan sp.,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,420,Using mass of ROPT
1529,species,dusgro,Dendragapus obscurus,Dusky Grouse,Dusky Grouse,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,2,1050,NA
1534,species,soogro1,Dendragapus fuliginosus,Sooty Grouse,Sooty Grouse,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,2,1050,NA
1541,species,shtgro,Tympanuchus phasianellus,Sharp-tailed Grouse,Sharp-tailed Grouse,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,2,880,NA
1548,species,grpchi,Tympanuchus cupido,Greater Prairie-Chicken,Greater Prairie Chicken,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,2,900,NA
1552,species,lepchi,Tympanuchus pallidicinctus,Lesser Prairie-Chicken,Lesser Prairie Chicken,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,2,750,NA
